job_index	model_slug	model	rep	dataset	mode	baseline	seed	baseline_position	model_position	block_index	block_key
50	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	1	daily_dialog	templated	sglang_radix_attention_shadowkv_plus	20261000	2	1	17	block_17:1:daily_dialog:templated
51	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	1	daily_dialog	templated	lmcache_no_native_radix	20261000	3	1	17	block_17:1:daily_dialog:templated
52	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	1	samsum	rag	sglang_radix_attention	20261021	1	1	18	block_18:1:samsum:rag
53	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	1	samsum	rag	lmcache_no_native_radix	20261021	2	1	18	block_18:1:samsum:rag
54	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	1	samsum	rag	sglang_radix_attention_shadowkv_plus	20261021	3	1	18	block_18:1:samsum:rag
55	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	2	samsum	templated	sglang_radix_attention	20262020	1	1	19	block_19:2:samsum:templated
56	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	2	samsum	templated	sglang_radix_attention_shadowkv_plus	20262020	2	1	19	block_19:2:samsum:templated
57	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	2	samsum	templated	lmcache_no_native_radix	20262020	3	1	19	block_19:2:samsum:templated
58	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	3	samsum	rag	sglang_radix_attention_shadowkv_plus	20263021	1	1	20	block_20:3:samsum:rag
59	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	3	samsum	rag	lmcache_no_native_radix	20263021	2	1	20	block_20:3:samsum:rag
60	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	3	samsum	rag	sglang_radix_attention	20263021	3	1	20	block_20:3:samsum:rag
61	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	1	xsum	rag	sglang_radix_attention_shadowkv_plus	20261081	1	1	21	block_21:1:xsum:rag
62	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	1	xsum	rag	sglang_radix_attention	20261081	2	1	21	block_21:1:xsum:rag
63	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	1	xsum	rag	lmcache_no_native_radix	20261081	3	1	21	block_21:1:xsum:rag
64	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	2	daily_dialog	templated	lmcache_no_native_radix	20262000	1	1	22	block_22:2:daily_dialog:templated
65	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	2	daily_dialog	templated	sglang_radix_attention_shadowkv_plus	20262000	2	1	22	block_22:2:daily_dialog:templated
66	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	2	daily_dialog	templated	sglang_radix_attention	20262000	3	1	22	block_22:2:daily_dialog:templated
67	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	2	ag_news	templated	lmcache_no_native_radix	20262040	1	1	23	block_23:2:ag_news:templated
68	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	2	ag_news	templated	sglang_radix_attention	20262040	2	1	23	block_23:2:ag_news:templated
69	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	2	ag_news	templated	sglang_radix_attention_shadowkv_plus	20262040	3	1	23	block_23:2:ag_news:templated
70	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	2	dolly	rag	sglang_radix_attention	20262061	1	1	24	block_24:2:dolly:rag
71	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	2	dolly	rag	lmcache_no_native_radix	20262061	2	1	24	block_24:2:dolly:rag
72	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	2	dolly	rag	sglang_radix_attention_shadowkv_plus	20262061	3	1	24	block_24:2:dolly:rag
73	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	2	dolly	templated	sglang_radix_attention	20262060	1	1	25	block_25:2:dolly:templated
74	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	2	dolly	templated	lmcache_no_native_radix	20262060	2	1	25	block_25:2:dolly:templated
75	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	2	dolly	templated	sglang_radix_attention_shadowkv_plus	20262060	3	1	25	block_25:2:dolly:templated
76	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	3	xsum	templated	lmcache_no_native_radix	20263080	1	1	26	block_26:3:xsum:templated
77	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	3	xsum	templated	sglang_radix_attention_shadowkv_plus	20263080	2	1	26	block_26:3:xsum:templated
78	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	3	xsum	templated	sglang_radix_attention	20263080	3	1	26	block_26:3:xsum:templated
79	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	1	dolly	rag	sglang_radix_attention_shadowkv_plus	20261061	1	1	27	block_27:1:dolly:rag
80	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	1	dolly	rag	sglang_radix_attention	20261061	2	1	27	block_27:1:dolly:rag
81	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	1	dolly	rag	lmcache_no_native_radix	20261061	3	1	27	block_27:1:dolly:rag
82	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	2	samsum	rag	lmcache_no_native_radix	20262021	1	1	28	block_28:2:samsum:rag
83	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	2	samsum	rag	sglang_radix_attention	20262021	2	1	28	block_28:2:samsum:rag
84	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	2	samsum	rag	sglang_radix_attention_shadowkv_plus	20262021	3	1	28	block_28:2:samsum:rag
85	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	3	daily_dialog	templated	sglang_radix_attention	20263000	1	1	29	block_29:3:daily_dialog:templated
86	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	3	daily_dialog	templated	sglang_radix_attention_shadowkv_plus	20263000	2	1	29	block_29:3:daily_dialog:templated
87	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	3	daily_dialog	templated	lmcache_no_native_radix	20263000	3	1	29	block_29:3:daily_dialog:templated
88	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	3	ag_news	templated	sglang_radix_attention_shadowkv_plus	20263040	1	1	30	block_30:3:ag_news:templated
89	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	3	ag_news	templated	lmcache_no_native_radix	20263040	2	1	30	block_30:3:ag_news:templated
90	qwen25_14b	Qwen/Qwen2.5-14B-Instruct	3	ag_news	templated	sglang_radix_attention	20263040	3	1	30	block_30:3:ag_news:templated
