dataset,early_layer_attempts,early_layer_hits,engine,exact_non_scaffold_policy_total,exact_policy_total,exact_scaffold_hits,hit_rate,logit_guard_attempts,logit_guard_hits,model,n_requests,path_reading,prompt_mode,reuse_successes,reused_prefix_tokens_total,scaffold_bypass_store_successes,scaffold_only_attempts,scaffold_only_hits,seed,semantic_opportunity_estimated_savings_ms,semantic_opportunity_plans_total,semantic_opportunity_reused_tokens_total,semantic_partial_hits,semantic_partial_policy_total,semantic_partial_reused_tokens_total,semantic_scaffold_store_successes,source_json
dolly,0,0,shadow_kv_plus,0,127,127,0.9921875,,,Qwen/Qwen2.5-7B-Instruct,128,exact_scaffold_only,semantic,127,16256,1,0,0,42,0.0,0,0,0,0,0,0,results_blackwell_semantic_qwen7b_gemma4_12b_longprefix_n128_20260711/Qwen_Qwen2_5-7B-Instruct/semantic/seed_42/dolly/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-7B-Instruct_public_dataset_dolly_semantic_cuda.json
oasst1,,,shadow_kv,0,0,0,0.0,,,Qwen/Qwen2.5-7B-Instruct,128,no_reuse_path_executed,semantic,0,0,,,,42,,,,0,0,,,results_blackwell_semantic_qwen7b_gemma4_12b_longprefix_n128_20260711/Qwen_Qwen2_5-7B-Instruct/semantic/seed_42/oasst1/shadow_kv/benchmark_hf_Qwen_Qwen2.5-7B-Instruct_public_dataset_oasst1_semantic_cuda.json
oasst1,0,0,shadow_kv_plus,0,127,127,0.9921875,,,Qwen/Qwen2.5-7B-Instruct,128,exact_scaffold_only,semantic,127,16256,1,0,0,42,0.0,0,0,0,0,0,0,results_blackwell_semantic_qwen7b_gemma4_12b_longprefix_n128_20260711/Qwen_Qwen2_5-7B-Instruct/semantic/seed_42/oasst1/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-7B-Instruct_public_dataset_oasst1_semantic_cuda.json
samsum,,,shadow_kv,0,0,0,0.0,,,Qwen/Qwen2.5-7B-Instruct,128,no_reuse_path_executed,semantic,0,0,,,,42,,,,0,0,,,results_blackwell_semantic_qwen7b_gemma4_12b_longprefix_n128_20260711/Qwen_Qwen2_5-7B-Instruct/semantic/seed_42/samsum/shadow_kv/benchmark_hf_Qwen_Qwen2.5-7B-Instruct_public_dataset_samsum_semantic_cuda.json
samsum,0,0,shadow_kv_plus,0,127,127,0.9921875,,,Qwen/Qwen2.5-7B-Instruct,128,exact_scaffold_only,semantic,127,16256,1,0,0,42,0.0,0,0,0,0,0,0,results_blackwell_semantic_qwen7b_gemma4_12b_longprefix_n128_20260711/Qwen_Qwen2_5-7B-Instruct/semantic/seed_42/samsum/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-7B-Instruct_public_dataset_samsum_semantic_cuda.json
ultrachat,,,shadow_kv,0,0,0,0.0,,,Qwen/Qwen2.5-7B-Instruct,128,no_reuse_path_executed,semantic,0,0,,,,42,,,,0,0,,,results_blackwell_semantic_qwen7b_gemma4_12b_longprefix_n128_20260711/Qwen_Qwen2_5-7B-Instruct/semantic/seed_42/ultrachat/shadow_kv/benchmark_hf_Qwen_Qwen2.5-7B-Instruct_public_dataset_ultrachat_semantic_cuda.json
ultrachat,0,0,shadow_kv_plus,0,127,127,0.9921875,,,Qwen/Qwen2.5-7B-Instruct,128,exact_scaffold_only,semantic,127,16256,1,0,0,42,0.0,0,0,0,0,0,0,results_blackwell_semantic_qwen7b_gemma4_12b_longprefix_n128_20260711/Qwen_Qwen2_5-7B-Instruct/semantic/seed_42/ultrachat/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-7B-Instruct_public_dataset_ultrachat_semantic_cuda.json
xsum,,,shadow_kv,0,0,0,0.0,,,Qwen/Qwen2.5-7B-Instruct,128,no_reuse_path_executed,semantic,0,0,,,,42,,,,0,0,,,results_blackwell_semantic_qwen7b_gemma4_12b_longprefix_n128_20260711/Qwen_Qwen2_5-7B-Instruct/semantic/seed_42/xsum/shadow_kv/benchmark_hf_Qwen_Qwen2.5-7B-Instruct_public_dataset_xsum_semantic_cuda.json
xsum,0,0,shadow_kv_plus,0,127,127,0.9921875,,,Qwen/Qwen2.5-7B-Instruct,128,exact_scaffold_only,semantic,127,16256,1,0,0,42,0.0,0,0,0,0,0,0,results_blackwell_semantic_qwen7b_gemma4_12b_longprefix_n128_20260711/Qwen_Qwen2_5-7B-Instruct/semantic/seed_42/xsum/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-7B-Instruct_public_dataset_xsum_semantic_cuda.json
ag_news,,,shadow_kv,0,0,0,0.0,,,google/gemma-4-12B-it,128,no_reuse_path_executed,semantic,0,0,,,,42,,,,0,0,,,results_blackwell_semantic_qwen7b_gemma4_12b_longprefix_n128_20260711/google_gemma-4-12B-it/semantic/seed_42/ag_news/shadow_kv/benchmark_hf_google_gemma-4-12B-it_public_dataset_ag_news_semantic_cuda.json
ag_news,0,0,shadow_kv_plus,0,127,127,0.9921875,,,google/gemma-4-12B-it,128,exact_scaffold_only,semantic,127,16256,1,0,0,42,0.0,0,0,0,0,0,0,results_blackwell_semantic_qwen7b_gemma4_12b_longprefix_n128_20260711/google_gemma-4-12B-it/semantic/seed_42/ag_news/shadow_kv_plus/benchmark_hf_google_gemma-4-12B-it_public_dataset_ag_news_semantic_cuda.json
alpaca_eval,,,shadow_kv,0,0,0,0.0,,,google/gemma-4-12B-it,128,no_reuse_path_executed,semantic,0,0,,,,42,,,,0,0,,,results_blackwell_semantic_qwen7b_gemma4_12b_longprefix_n128_20260711/google_gemma-4-12B-it/semantic/seed_42/alpaca_eval/shadow_kv/benchmark_hf_google_gemma-4-12B-it_public_dataset_alpaca_eval_semantic_cuda.json
alpaca_eval,0,0,shadow_kv_plus,0,127,127,0.9921875,,,google/gemma-4-12B-it,128,exact_scaffold_only,semantic,127,16256,1,0,0,42,0.0,0,0,0,0,0,0,results_blackwell_semantic_qwen7b_gemma4_12b_longprefix_n128_20260711/google_gemma-4-12B-it/semantic/seed_42/alpaca_eval/shadow_kv_plus/benchmark_hf_google_gemma-4-12B-it_public_dataset_alpaca_eval_semantic_cuda.json
banking77,,,shadow_kv,0,0,0,0.0,,,google/gemma-4-12B-it,128,no_reuse_path_executed,semantic,0,0,,,,42,,,,0,0,,,results_blackwell_semantic_qwen7b_gemma4_12b_longprefix_n128_20260711/google_gemma-4-12B-it/semantic/seed_42/banking77/shadow_kv/benchmark_hf_google_gemma-4-12B-it_public_dataset_banking77_semantic_cuda.json
banking77,0,0,shadow_kv_plus,0,127,127,0.9921875,,,google/gemma-4-12B-it,128,exact_scaffold_only,semantic,127,16256,1,0,0,42,0.0,0,0,0,0,0,0,results_blackwell_semantic_qwen7b_gemma4_12b_longprefix_n128_20260711/google_gemma-4-12B-it/semantic/seed_42/banking77/shadow_kv_plus/benchmark_hf_google_gemma-4-12B-it_public_dataset_banking77_semantic_cuda.json
cnn_dailymail,,,shadow_kv,0,0,0,0.0,,,google/gemma-4-12B-it,128,no_reuse_path_executed,semantic,0,0,,,,42,,,,0,0,,,results_blackwell_semantic_qwen7b_gemma4_12b_longprefix_n128_20260711/google_gemma-4-12B-it/semantic/seed_42/cnn_dailymail/shadow_kv/benchmark_hf_google_gemma-4-12B-it_public_dataset_cnn_dailymail_semantic_cuda.json
cnn_dailymail,0,0,shadow_kv_plus,0,127,127,0.9921875,,,google/gemma-4-12B-it,128,exact_scaffold_only,semantic,127,16256,1,0,0,42,0.0,0,0,0,0,0,0,results_blackwell_semantic_qwen7b_gemma4_12b_longprefix_n128_20260711/google_gemma-4-12B-it/semantic/seed_42/cnn_dailymail/shadow_kv_plus/benchmark_hf_google_gemma-4-12B-it_public_dataset_cnn_dailymail_semantic_cuda.json
daily_dialog,,,shadow_kv,0,0,0,0.0,,,google/gemma-4-12B-it,128,no_reuse_path_executed,semantic,0,0,,,,42,,,,0,0,,,results_blackwell_semantic_qwen7b_gemma4_12b_longprefix_n128_20260711/google_gemma-4-12B-it/semantic/seed_42/daily_dialog/shadow_kv/benchmark_hf_google_gemma-4-12B-it_public_dataset_daily_dialog_semantic_cuda.json
daily_dialog,0,0,shadow_kv_plus,0,127,127,0.9921875,,,google/gemma-4-12B-it,128,exact_scaffold_only,semantic,127,16256,1,0,0,42,0.0,0,0,0,0,0,0,results_blackwell_semantic_qwen7b_gemma4_12b_longprefix_n128_20260711/google_gemma-4-12B-it/semantic/seed_42/daily_dialog/shadow_kv_plus/benchmark_hf_google_gemma-4-12B-it_public_dataset_daily_dialog_semantic_cuda.json
dolly,,,shadow_kv,0,0,0,0.0,,,google/gemma-4-12B-it,128,no_reuse_path_executed,semantic,0,0,,,,42,,,,0,0,,,results_blackwell_semantic_qwen7b_gemma4_12b_longprefix_n128_20260711/google_gemma-4-12B-it/semantic/seed_42/dolly/shadow_kv/benchmark_hf_google_gemma-4-12B-it_public_dataset_dolly_semantic_cuda.json
dolly,0,0,shadow_kv_plus,0,127,127,0.9921875,,,google/gemma-4-12B-it,128,exact_scaffold_only,semantic,127,16256,1,0,0,42,0.0,0,0,0,0,0,0,results_blackwell_semantic_qwen7b_gemma4_12b_longprefix_n128_20260711/google_gemma-4-12B-it/semantic/seed_42/dolly/shadow_kv_plus/benchmark_hf_google_gemma-4-12B-it_public_dataset_dolly_semantic_cuda.json
oasst1,,,shadow_kv,0,0,0,0.0,,,google/gemma-4-12B-it,128,no_reuse_path_executed,semantic,0,0,,,,42,,,,0,0,,,results_blackwell_semantic_qwen7b_gemma4_12b_longprefix_n128_20260711/google_gemma-4-12B-it/semantic/seed_42/oasst1/shadow_kv/benchmark_hf_google_gemma-4-12B-it_public_dataset_oasst1_semantic_cuda.json
oasst1,0,0,shadow_kv_plus,0,127,127,0.9921875,,,google/gemma-4-12B-it,128,exact_scaffold_only,semantic,127,16256,1,0,0,42,0.0,0,0,0,0,0,0,results_blackwell_semantic_qwen7b_gemma4_12b_longprefix_n128_20260711/google_gemma-4-12B-it/semantic/seed_42/oasst1/shadow_kv_plus/benchmark_hf_google_gemma-4-12B-it_public_dataset_oasst1_semantic_cuda.json
samsum,,,shadow_kv,0,0,0,0.0,,,google/gemma-4-12B-it,128,no_reuse_path_executed,semantic,0,0,,,,42,,,,0,0,,,results_blackwell_semantic_qwen7b_gemma4_12b_longprefix_n128_20260711/google_gemma-4-12B-it/semantic/seed_42/samsum/shadow_kv/benchmark_hf_google_gemma-4-12B-it_public_dataset_samsum_semantic_cuda.json
samsum,0,0,shadow_kv_plus,0,127,127,0.9921875,,,google/gemma-4-12B-it,128,exact_scaffold_only,semantic,127,16256,1,0,0,42,0.0,0,0,0,0,0,0,results_blackwell_semantic_qwen7b_gemma4_12b_longprefix_n128_20260711/google_gemma-4-12B-it/semantic/seed_42/samsum/shadow_kv_plus/benchmark_hf_google_gemma-4-12B-it_public_dataset_samsum_semantic_cuda.json
ultrachat,,,shadow_kv,0,0,0,0.0,,,google/gemma-4-12B-it,128,no_reuse_path_executed,semantic,0,0,,,,42,,,,0,0,,,results_blackwell_semantic_qwen7b_gemma4_12b_longprefix_n128_20260711/google_gemma-4-12B-it/semantic/seed_42/ultrachat/shadow_kv/benchmark_hf_google_gemma-4-12B-it_public_dataset_ultrachat_semantic_cuda.json
ultrachat,0,0,shadow_kv_plus,0,127,127,0.9921875,,,google/gemma-4-12B-it,128,exact_scaffold_only,semantic,127,16256,1,0,0,42,0.0,0,0,0,0,0,0,results_blackwell_semantic_qwen7b_gemma4_12b_longprefix_n128_20260711/google_gemma-4-12B-it/semantic/seed_42/ultrachat/shadow_kv_plus/benchmark_hf_google_gemma-4-12B-it_public_dataset_ultrachat_semantic_cuda.json
xsum,,,shadow_kv,0,0,0,0.0,,,google/gemma-4-12B-it,128,no_reuse_path_executed,semantic,0,0,,,,42,,,,0,0,,,results_blackwell_semantic_qwen7b_gemma4_12b_longprefix_n128_20260711/google_gemma-4-12B-it/semantic/seed_42/xsum/shadow_kv/benchmark_hf_google_gemma-4-12B-it_public_dataset_xsum_semantic_cuda.json
xsum,0,0,shadow_kv_plus,0,127,127,0.9921875,,,google/gemma-4-12B-it,128,exact_scaffold_only,semantic,127,16256,1,0,0,42,0.0,0,0,0,0,0,0,results_blackwell_semantic_qwen7b_gemma4_12b_longprefix_n128_20260711/google_gemma-4-12B-it/semantic/seed_42/xsum/shadow_kv_plus/benchmark_hf_google_gemma-4-12B-it_public_dataset_xsum_semantic_cuda.json
